Category Code 	Description
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) Generation Rate
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
